name,style,glass,garnish,notes
20th Century,shaken,coupe,lemon twist,
Abbey Cocktail,shaken,coupe,brandied cherry,
Agave Old Fashioned,built,old-fashioned,lemon twist,
Airmail,bubbly,collins,lime wedge,
Alabazam,shaken,coupe,lemon twist,
Alaska Cocktail,stirred,coupe,lemon twist,
Angostura Fizz,fizz,coupe,lemon slice,Dry shake all but soda water (no ice) for 10 seconds. Then add ice and shake until cold. Strain into glass and top with soda water.
Apple Toddy,hot,mug,apple slice and cinnamon stick,
Applejack Old Fashioned,built,old-fashioned,orange twist,
Bee's Knees,shaken,coupe,brandied cherry,
Bijou,stirred,coupe,brandied cherry,
Bitter French,bubbly,flute,lemon twist,
Bitter Guiseppe,stirred,coupe,lemon twist,
Black Feather,stirred,coupe,lemon twist,
Blackthorn,stirred,coupe,orange twist,
Blonde Redhead,built,collins,orange twist,
Blood & Sand,shaken,coupe,brandied cherry,
Bobby Burns,stirred,coupe,lemon twist,
Boulevardier,stirred,coupe,lemon twist,
Bourbon Toddy,hot,mug,lemon twist,
Brandy 75,bubbly,flute,lemon twist,
Brandy Alexander,shaken,coupe,grated nutmeg,
Brandy Crusta,shaken,coupe,lemon twist and sugar rim,
Brooklyn,stirred,coupe,brandied cherry,
Brown Derby,shaken,coupe,grapefruit twist,
Caipirinha,shaken,double rocks,lime wedge,
Champagne Cocktail,bubbly,flute,lemon twist,Drop sugar cube into the flute and douse with the bitters. Then pour in champagne and enjoy.
Champs-Elysees,shaken,coupe,lemon twist,
Corn 'n' Oil,built,old-fashioned,lime wedge,
Corpse Reviver #2,shaken,coupe,orange twist,
Cosmopolitan,shaken,coupe,orange twist,
Cricket Ball,bubbly,flute,lemon twist,Drop sugar cube in the flute and douse with the bitters. Add the Lillet and then add the champagne and stir lightly.
Daiquiri,shaken,margarita,lime wedge,
Dark & Stormy,built,double rocks,lime wheel,
De La Louisiane,stirred,coupe,brandied cherry,
Diamondback,stirred,coupe,orange twist,
Fancy-Free,stirred,coupe,orange twist,
Fitzgerald,shaken,coupe,lemon wedge,
French 75,bubbly,coupe,lemon twist,
French 95,built,coupe,lemon twist,
Gargoyle and Spire,bubbly,highball,orange twist,
Gimlet,shaken,coupe,lime wheel,
Gin Fizz,shaken,collins,orange slice,
Gin Rickey,shaken,collins,lime wedge,
Gold Rush,shaken,old-fashioned,none,
Grasshopper,built,double rocks,mint sprig,
Hanky Panky,stirred,coupe,orange twist,
Harvard Cocktail,shaken,coupe,lemon twist,
Hemingway Daiquiri,shaken,coupe,lime wheel,
Honeysuckle,shaken,coupe,lime wedge,
Hot Toddy,hot,mug,lemon slice,
Improved Whiskey Cocktail,stirred,old-fashioned,lemon twist,
Japanese Cocktail,stirred,coupe,lemon twist,
Jersey Julep,shaken,julep,strawberry slice,
La Rosa,bubbly,flute,lime wedge,
La Rosita,stirred,coupe,orange twist,
Last Word,shaken,coupe,none,
Lucien Gaudin,stirred,coupe,lemon twist,
Manhattan,stirred,coupe,brandied cherry,
Margarita,shaken,coupe,salt rim and lime wedge,
Martinez,stirred,coupe,lemon twist,
Martini,stirred,coupe,lemon twist,
Mint Julep,shaken,julep,mint bouquet,
Mojito,shaken,highball,mint bouquet,Lightly muddle mint leaves in shaker. Add everything except club soda and shake until cold. Strain in glass and top with club soda and mint sprig.
Moscow Mule,built,mule,mint sprig,
Negroni,built,old-fashioned,orange twist,
Old Fashioned,built,old-fashioned,lemon twist,
Old Hickory,built,old-fashioned,lemon twist,
Old Pal,stirred,coupe,lemon twist,
Paloma,built,double rocks,lime wheel,
Pegu Club,shaken,coupe,lime slice,
Penicillin,stirred,coupe,fresh ginger slices,
Ping-Pong Cocktail,stirred,coupe,lemon twist,
Pink Gin,stirred,coupe,none,
Pisco 75,bubbly,flute,lime slice,
Pisco Sour,double shake,coupe,lime slice,Dry shake all except bitters (no ice) for 10 seconds. Then add ice and shake until cold. Strain into glass and top with bitters.
Preakness,stirred,coupe,orange twist,
Queen's Park Swizzle,shaken,collins,mint sprig,
Ramos Gin Fizz,fizz,collins,orange wheel,Dry shake all but soda water (no ice) for 60 seconds. Then add ice and shake until cold. Strain into glass and top with soda water.
Rob Roy,stirred,coupe,lemon twist,
Rum 75,bubbly,flute,lemon twist,
Rum Old Fashioned,built,old-fashioned,lemon twist,
Rum Toddy,hot,mug,lemon twist,
Rusty Nail,stirred,old-fashioned,lemon twist,
Sawyer,shaken,old-fashioned,lime twist,
Sazerac,stirred,old-fashioned,lemon twist,Add the absinthe to the glass and roll it around then discard the extra. Stir the other liquid ingredients with ice until cold then strain into glass. Rub the lemon peel around the rim of the glass then rest on it on the rim.
Scofflaw Cocktail,shaken,coupe,orange twist,
Scotch Old Fashioned,built,old-fashioned,none,
Scotch Toddy,hot,mug,lemon twist,
Seelbach Cocktail,bubbly,coupe,orange twist,
Sidecar,stirred,coupe,sugared rim,
South Side,shaken,coupe,mint sprig,
Southland Sipper,shaken,collins,strawberry slice,
Southside Cocktail,shaken,coupe,mint sprig,
Southside Fizz,bubbly,flute,mint sprig,
Stinger,stirred,coupe,mint sprig,
Summer Negroni,stirred,coupe,lemon twist,
Tailspin,stirred,coupe,lemon twist,
Tequila 75,bubbly,flute,lime twist,
The Bamboo,stirred,coupe,lemon twist,
The Bitter Handshake,stirred,old-fashioned,orange twist,Make syrup by combining rye and sugar 1:1 then heating until combined. Simmer blood orange juice until reduced by a third or so then let cool. Stir all ingredients with ice until cold and then strain into an old-fashioned glass with one large ice cube.
Tom Collins,shaken,collins,lemon slice,
Toronto,stirred,coupe,orange twist,
Trident,stirred,coupe,lemon twist,
Vesper,stirred,coupe,lemon twist,
Vieux Carre,stirred,old-fashioned,lemon twist,Combine ingredients in mixing glass and stir with ice until cold
Ward 8,shaken,coupe,brandied cherry,
Whiskey Sour,double shake,coupe,lemon slice,
Widow's Kiss,stirred,coupe,mint sprig,
Zim Zala Bim,stirred,coupe,lemon twist,Stir with no ice until sugar dissolves. Then add ice and stir until chilled. Strain into glass. Squeeze the oil from the lemon peel over the glass and discard.
The Frank Oâ€™Hara,stirred,coupe,lemon twist,Combine ingredients in mixing glass and stir with ice until cold
Lillet Vive,built,collins,sliced cucumber and strawberries,
Corpse Reviver #0824,double shake,coupe,none,
Italian Dandy,stirred,coupe,orange twist,
Stazione Strega,stirred,coupe,orange twist,
Ginger Witch,fizz,collins,candied ginger and a mint sprig,
Americano in Benevento,built,old-fashioned,lemon twist,
Strega Mule,built,collins,mint sprig and lime wedge,
Americano,built,old-fashioned,lemon twist,
Campari Orange,built,collins,orange slice,
Negroni Sbagliato,built,double rocks,orange slice,
Campari & Tonic,built,double rocks,lime slice,
Campari & Soda,built,collins,orange slice,
Mi To,built,rocks,orange twist,
